GeneName	GoTerm
YAR014C	GO:0043666
YAR014C	GO:0007010
YAR014C	GO:0051301
YAR014C	GO:0006355
YAR014C	GO:0090337
YAR014C	GO:0032465
YAR014C	GO:0060627
YAR014C	GO:0008360
YAR015W	GO:0006164
YAR015W	GO:0006189
YAR018C	GO:0007088
YAR018C	GO:0090307
YAR018C	GO:0007059
YAR018C	GO:0016310
YAR018C	GO:1903126
YAR018C	GO:0006468
YAR019C	GO:0006468
YAR019C	GO:0016310
YAR019C	GO:0007049
YAR019C	GO:0051301
YAR019C	GO:0000281
YAR019C	GO:0032147
YAR019C	GO:0051229
YAR019C	GO:0007096
YAR019C	GO:0031098
YAR019C	GO:0018107
YAR019C	GO:0018105
YAR019C	GO:0023014
YAR020C	GO:0008150
YAR020C	GO:0031505
YAR023C	GO:0008150
YAR023C	GO:0016050
YAR027W	GO:0016050
YAR027W	GO:0008150
YAR028W	GO:0008150
YAR028W	GO:0016050
YAR029W	GO:0008150
YAR029W	GO:0016050
YAR031W	GO:0008150
YAR031W	GO:0016050
YAR031W	GO:0016192
YAR033W	GO:0016050
YAR033W	GO:0015031
YAR033W	GO:0016192
YAR035C-A	GO:0008150
YAR035W	GO:0009437
YAR035W	GO:0006631
YAR035W	GO:0006629
YAR042W	GO:0006887
YAR042W	GO:0034727
YAR042W	GO:0015918
YAR042W	GO:0006869
YAR042W	GO:0030011
YAR042W	GO:0006897
YAR050W	GO:0036281
YAR050W	GO:0034605
YAR050W	GO:0000501
YAR050W	GO:0000128
YAR050W	GO:0070301
YAR050W	GO:0071361
YAR061W	GO:0008150
YAR062W	GO:0000128
YAR062W	GO:0008150
YAR064W	GO:0008150
YAR066W	GO:0008150
YAR068W	GO:0008150
YAR071W	GO:0016311
YAR071W	GO:0006796
YBL001C	GO:0008150
YBL002W	GO:0006333
YBL003C	GO:0006325
YBL003C	GO:0006974
YBL003C	GO:0006281
YBL003C	GO:0006333
YBL004W	GO:0000480
YBL004W	GO:0000472
YBL004W	GO:0000447
YBL004W	GO:0042254
YBL004W	GO:0006364
YBL005W	GO:2001040
YBL005W	GO:0045944
YBL005W	GO:0006355
YBL005W	GO:0006351
YBL005W-A	GO:0032197
YBL005W-B	GO:0032197
YBL005W-B	GO:0032196
YBL005W-B	GO:0071897
YBL005W-B	GO:0090502
YBL005W-B	GO:0006278
YBL005W-B	GO:0015074
YBL005W-B	GO:0090305
YBL005W-B	GO:0006508
YBL005W-B	GO:0090501
YBL005W-B	GO:0008152
YBL005W-B	GO:0006310
YBL006C	GO:0006337
YBL006C	GO:0006325
YBL006C	GO:0043044
YBL006C	GO:0006368
YBL007C	GO:0006897
YBL007C	GO:0000147
YBL007C	GO:0034316
YBL008W	GO:0000070
YBL008W	GO:0006351
YBL008W	GO:0006336
YBL008W	GO:0006325
YBL008W	GO:0000122
YBL008W	GO:0031935
YBL008W	GO:0006355
YBL008W	GO:0006368
YBL008W	GO:0030702
YBL008W-A	GO:0008150
YBL009W	GO:0035556
YBL009W	GO:0016310
YBL009W	GO:0007049
YBL009W	GO:0006468
YBL009W	GO:0006974
YBL009W	GO:0000278
